Customer,Education,Customer Lifetime Value,Income,Monthly Premium Auto,Number of Open Complaints,Policy Type,Vehicle Class,Total Claim Amount,State,Gender
LQ20969,Bachelor,6189,59523,78,1,Personal Auto,Four-Door Car,343,California,M
BZ33435,Bachelor,5638,56017,71,0,Corporate Auto,Four-Door Car,51,Arizona,F
OA55110,Master,5264,14306,74,3,Corporate Auto,Four-Door Car,355,Arizona,M
YJ42538,Bachelor,4035,21359,101,0,Personal Auto,Luxury,484,Arizona,F
XB64207,Bachelor,4117,86101,102,0,Personal Auto,SUV,344,Arizona,F
KZ80424,Bachelor,8382,25998,71,0,Personal Auto,Four-Door Car,791,Washington,M
BC34309,Master,2435,64341,61,0,Personal Auto,Four-Door Car,79,California,F
JC34468,High School or Below,6599,36060,165,0,Special Auto,Luxury,774,California,F
ON34922,High School or Below,5353,61894,67,0,Personal Auto,Four-Door Car,266,Oregon,M
MQ93707,High School or Below,6747,26721,65,3,Personal Auto,Four-Door Car,312,Oregon,M
SY28542,Bachelor,7412,59940,94,0,Personal Auto,Four-Door Car,303,Nevada,F
RA29518,Master,5512,45971,138,0,Special Auto,SUV,139,Washington,M
No34698,Bachelor,4015,80055,100,0,Corporate Auto,SUV,121,Oregon,M
VK37392,College,7772,58345,98,0,Personal Auto,Four-Door Car,346,Arizona,M
LJ43082,College,4638,0,71,3,Personal Auto,Two-Door Car,143,Oregon,F
FI90697,Bachelor,10507,76549,132,0,Personal Auto,SUV,616,Oregon,M
DR93103,Master,17556,36212,73,0,Personal Auto,Two-Door Car,119,Arizona,F
XR37151,Bachelor,9103,0,131,0,Personal Auto,Luxury,628,California,F
ZZ43513,High School or Below,13110,73597,114,5,Personal Auto,SUV,485,California,M
QW81912,High School or Below,8006,63762,99,0,Personal Auto,Four-Door Car,108,California,F
AZ50087,Bachelor,6807,32787,86,0,Personal Auto,Two-Door Car,568,California,M
HQ87008,Bachelor,2627,94962,67,4,Personal Auto,Two-Door Car,321,California,F
FM30352,High School or Below,9095,0,256,0,Personal Auto,Luxury,1943,Oregon,F
PD30266,College,5015,73809,125,0,Special Auto,SUV,537,California,F
GA50461,Bachelor,4726,13037,124,0,Personal Auto,SUV,839,Oregon,F
FY84962,High School or Below,3059,0,88,0,Personal Auto,Four-Door Car,989,California,M
GT14584,College,4122,75272,103,0,Personal Auto,SUV,71,Oregon,F
IA87250,Master,2620,39278,66,0,Personal Auto,Four-Door Car,65,Arizona,F
MM67983,Bachelor,4938,36913,62,0,Personal Auto,Four-Door Car,90,Oregon,M
MW40110,Bachelor,4691,0,74,1,Personal Auto,Four-Door Car,407,California,M
SH93005,College,6005,13528,86,0,Personal Auto,Four-Door Car,412,California,M
KD69941,Bachelor,4941,0,137,0,Personal Auto,SUV,986,California,M
JV38934,Bachelor,2254,0,65,1,Personal Auto,Four-Door Car,768,Washington,F
XI16714,High School or Below,2554,0,72,0,Corporate Auto,Four-Door Car,405,Arizona,F
DG68667,Doctor,8123,12617,108,0,Personal Auto,SUV,648,Arizona,M
AR40217,High School or Below,19079,42754,65,4,Personal Auto,Two-Door Car,279,Oregon,F
IM73868,College,10461,0,155,0,Corporate Auto,Luxury,1116,Oregon,M
BR44176,High School or Below,4669,76157,116,0,Personal Auto,Two-Door Car,556,California,F
MY51849,Bachelor,4903,0,66,0,Personal Auto,Four-Door Car,469,Oregon,F
FQ61281,High School or Below,83325,58958,231,0,Personal Auto,Luxury,1108,Oregon,M
NJ72300,Bachelor,8009,0,107,0,Personal Auto,SUV,740,Oregon,F
YO81740,Bachelor,23895,0,98,0,Personal Auto,Four-Door Car,705,Oregon,F
WM25415,High School or Below,7732,34430,65,0,Personal Auto,Two-Door Car,184,Oregon,F
GU41036,High School or Below,9416,13411,127,0,Personal Auto,SUV,609,Oregon,M
NN66592,Bachelor,5923,73758,74,0,Personal Auto,Four-Door Car,301,California,M
TO29918,High School or Below,3833,0,116,2,Personal Auto,Luxury,1397,California,F
PF53601,Bachelor,28432,17130,198,0,Special Auto,Luxury,950,Oregon,M
TF61492,College,5553,0,92,3,Personal Auto,Four-Door Car,662,Washington,F
PD52748,High School or Below,10036,0,134,1,Personal Auto,SUV,1353,Oregon,F
TF68928,Bachelor,6575,10517,92,0,Personal Auto,Four-Door Car,441,Arizona,M
VZ79366,College,4362,58842,110,0,Personal Auto,Four-Door Car,528,California,M
SQ53118,College,7873,22355,71,3,Personal Auto,Four-Door Car,340,California,M
QZ56257,High School or Below,13021,0,223,5,Personal Auto,Luxury,1605,Washington,F
ZI34278,Bachelor,4492,21137,61,1,Personal Auto,Four-Door Car,292,Arizona,F
ZB82406,Bachelor,6650,0,99,2,Personal Auto,Four-Door Car,712,Oregon,F
OP93305,High School or Below,11093,78255,95,0,Personal Auto,Four-Door Car,456,California,M
CK31454,Bachelor,5107,35625,65,1,Special Auto,Four-Door Car,288,Arizona,F
FX81675,College,7334,87957,61,0,Personal Auto,Four-Door Car,308,California,F
BK85520,College,4996,25915,64,0,Corporate Auto,Two-Door Car,317,Oregon,F
KB18303,College,8658,62464,109,0,Corporate Auto,Luxury,400,California,M
GX47381,High School or Below,9657,0,131,0,Corporate Auto,SUV,628,California,M
RX31862,High School or Below,6176,49529,78,0,Personal Auto,Two-Door Car,234,California,M
YQ58965,Bachelor,2867,23376,78,0,Personal Auto,Four-Door Car,374,California,F
HG60406,College,2821,0,81,0,Personal Auto,Four-Door Car,583,California,M
BC52397,College,2843,67952,71,0,Personal Auto,Two-Door Car,167,Arizona,M
AR69517,College,11790,25251,66,0,Corporate Auto,Four-Door Car,316,California,M
JJ23168,High School or Below,7785,20497,65,0,Personal Auto,Four-Door Car,425,Arizona,F
NB39218,High School or Below,12315,68420,104,1,Personal Auto,Four-Door Car,499,California,M
FP95606,College,4810,24711,122,0,Personal Auto,Luxury,259,Arizona,F
YP27180,College,27279,76530,119,4,Personal Auto,SUV,254,California,F
JK74110,High School or Below,3980,98333,99,1,Personal Auto,Four-Door Car,459,California,M
MC85738,Bachelor,14635,0,139,0,Personal Auto,SUV,667,California,F
CE78778,College,3761,0,106,1,Personal Auto,Four-Door Car,1116,Oregon,F
LT72149,High School or Below,5619,0,153,0,Personal Auto,SUV,1027,Nevada,M
ZC89812,Bachelor,5304,0,74,0,Personal Auto,Four-Door Car,532,Arizona,M
GF68713,Bachelor,3207,24695,82,0,Personal Auto,Four-Door Car,393,Oregon,M
HB23001,Bachelor,8697,26287,111,0,Personal Auto,Two-Door Car,279,California,M
DH99299,College,8717,83846,74,3,Personal Auto,Four-Door Car,355,California,M
RA61917,High School or Below,8029,76081,68,0,Personal Auto,Four-Door Car,384,Washington,F
KM65135,College,4763,14957,66,0,Corporate Auto,Four-Door Car,316,Oregon,M
RR37482,High School or Below,23055,41727,117,1,Personal Auto,Four-Door Car,82,Washington,M
WM24870,College,5383,89092,68,2,Personal Auto,Two-Door Car,91,Nevada,F
EC78254,College,8409,53986,70,1,Corporate Auto,Four-Door Car,127,Washington,F
CQ19667,Bachelor,4257,49853,109,0,Personal Auto,Four-Door Car,679,Oregon,F
AY43037,High School or Below,14708,36670,189,0,Corporate Auto,Luxury,907,Oregon,M
GN36177,Bachelor,2593,43626,67,0,Personal Auto,Two-Door Car,321,Nevada,M
VL36269,High School or Below,2466,0,70,0,Special Auto,Four-Door Car,504,Washington,F
UA58104,College,7933,76505,65,0,Personal Auto,Four-Door Car,144,California,F
GR12431,College,36860,66216,103,0,Personal Auto,Luxury,96,California,F
IV37346,College,7412,52497,63,0,Corporate Auto,Two-Door Car,302,Oregon,F
VU99589,High School or Below,34611,20090,109,0,Personal Auto,Luxury,523,Arizona,F
VV61641,High School or Below,18726,0,185,2,Personal Auto,SUV,1543,Oregon,F
ZY26831,Bachelor,7249,37751,93,0,Corporate Auto,Four-Door Car,56,California,F
IP84574,College,8193,54840,72,3,Corporate Auto,Four-Door Car,468,Oregon,F
XF33416,College,8692,31986,111,0,Personal Auto,Four-Door Car,532,Oregon,F
PV62583,College,9799,22166,126,0,Personal Auto,SUV,604,Nevada,M
QK29271,Bachelor,14084,0,208,0,Corporate Auto,Luxury,2270,California,M
ZF58696,High School or Below,13104,0,130,0,Personal Auto,Luxury,1430,California,M
PK37320,Master,2628,83838,65,0,Personal Auto,Two-Door Car,281,Oregon,F
EP35930,Master,5245,46061,65,0,Personal Auto,Two-Door Car,21,Oregon,F
TS34391,College,8092,50825,102,0,Personal Auto,SUV,369,Oregon,M
ST65635,College,2719,14030,72,0,Corporate Auto,Two-Door Car,345,Arizona,F
AQ25590,High School or Below,5445,20282,79,3,Personal Auto,Two-Door Car,507,Washington,F
QK37708,Bachelor,4514,50146,116,1,Personal Auto,SUV,759,California,M
EY83434,High School or Below,22029,0,121,0,Personal Auto,SUV,580,Washington,M
DQ55516,Bachelor,5408,20472,139,0,Corporate Auto,SUV,667,California,F
KS72802,Master,3768,85751,93,0,Corporate Auto,Four-Door Car,391,Oregon,F
PE32165,High School or Below,27934,76912,116,2,Corporate Auto,Luxury,169,California,F
XO78284,Master,3887,96335,97,0,Personal Auto,Four-Door Car,161,Arizona,M
HS39343,Bachelor,7475,29633,196,0,Corporate Auto,Luxury,534,Washington,F
ZF77631,Master,22758,80540,63,0,Personal Auto,Four-Door Car,65,California,M
ZE60021,High School or Below,5124,14465,135,1,Corporate Auto,Luxury,944,Nevada,F
IU15885,Bachelor,4900,0,66,0,Personal Auto,Four-Door Car,316,Washington,F
HI16116,Master,5278,29899,66,0,Personal Auto,Four-Door Car,419,Oregon,F
WH41496,College,4821,0,136,0,Personal Auto,SUV,652,Washington,M
IQ24777,Bachelor,8044,71391,67,0,Personal Auto,Four-Door Car,284,Nevada,M
CA55066,High School or Below,12157,57449,103,0,Personal Auto,Four-Door Car,494,Arizona,M
LG87047,High School or Below,18591,14209,62,0,Personal Auto,Four-Door Car,297,California,M
TK38732,High School or Below,4873,47824,129,3,Personal Auto,SUV,546,Oregon,M
KH94432,Doctor,5338,48696,66,0,Corporate Auto,Four-Door Car,48,Arizona,F
ID21652,Bachelor,2878,79189,71,0,Personal Auto,Two-Door Car,56,Washington,F
RV90030,High School or Below,8473,0,116,2,Special Auto,Luxury,1148,California,F
CK36026,Bachelor,3440,23870,91,0,Personal Auto,Two-Door Car,500,Arizona,F
UR27848,College,17497,0,73,0,Personal Auto,Two-Door Car,350,California,M
KP68957,Bachelor,2544,41059,64,0,Corporate Auto,Four-Door Car,151,California,F
LC86277,High School or Below,3336,19447,89,0,Corporate Auto,Four-Door Car,640,Oregon,M
UW55977,Bachelor,5206,94392,65,1,Personal Auto,Four-Door Car,156,Washington,M
RE46032,College,43290,23203,132,0,Personal Auto,SUV,1158,Nevada,M
CG69038,College,4817,38157,61,0,Personal Auto,Two-Door Car,81,Washington,M
IR73545,College,13727,0,126,0,Personal Auto,SUV,604,Oregon,M
CR85257,High School or Below,4996,99761,63,0,Corporate Auto,Two-Door Car,452,Oregon,M
JX88012,College,7960,98350,101,3,Corporate Auto,SUV,289,Oregon,F
ED44765,High School or Below,7367,25318,63,2,Personal Auto,Four-Door Car,302,Oregon,F
TW81986,Bachelor,5632,51721,139,0,Personal Auto,SUV,625,Arizona,F
HA56889,Bachelor,3884,0,114,0,Personal Auto,Luxury,851,Nevada,F
EB72669,Bachelor,4518,0,78,3,Personal Auto,Four-Door Car,374,California,M
CH95772,College,2565,68321,66,0,Personal Auto,Four-Door Car,198,California,M
OZ62735,Bachelor,15487,69161,129,0,Personal Auto,Luxury,441,Arizona,M
UN50538,Bachelor,6395,72667,80,0,Personal Auto,Four-Door Car,383,Oregon,F
JS76871,High School or Below,8639,62082,72,0,Corporate Auto,Four-Door Car,91,Oregon,M
UG42487,High School or Below,9806,0,87,0,Personal Auto,Four-Door Car,626,Arizona,F
TB56369,Bachelor,12472,36551,107,0,Personal Auto,Four-Door Car,53,California,F
ZN27753,Bachelor,5794,70524,73,0,Personal Auto,Four-Door Car,350,Oregon,M
FH22442,High School or Below,2619,60477,65,0,Corporate Auto,Four-Door Car,139,California,F
LV81383,High School or Below,3731,0,96,0,Personal Auto,Four-Door Car,460,Washington,F
HI34993,High School or Below,5421,40376,69,0,Personal Auto,Four-Door Car,427,Oregon,M
KW59167,College,6521,72608,82,3,Personal Auto,Four-Door Car,393,Oregon,F
BL44722,High School or Below,41787,46587,119,2,Personal Auto,Four-Door Car,571,Nevada,F
QV11152,High School or Below,9613,34398,61,1,Personal Auto,Two-Door Car,292,Arizona,M
SG53084,Bachelor,4766,70432,61,3,Personal Auto,Four-Door Car,6,California,F
EZ30537,Doctor,23984,79655,296,0,Personal Auto,Luxury,498,Oregon,F
AY35050,College,7292,0,98,0,Personal Auto,Two-Door Car,470,Arizona,F
UQ59692,Bachelor,21255,73457,133,1,Personal Auto,SUV,198,California,F
JF11031,College,5357,0,82,0,Personal Auto,Four-Door Car,393,California,M
DE53644,Bachelor,5192,23059,66,0,Personal Auto,Two-Door Car,372,California,F
KR53335,Bachelor,7116,0,66,0,Personal Auto,Four-Door Car,316,Washington,F
AJ89108,Bachelor,11009,51643,283,0,Personal Auto,Luxury,1358,California,F
MZ10085,High School or Below,4328,72531,109,1,Personal Auto,Luxury,523,Nevada,M
EV68966,College,9419,87840,118,1,Personal Auto,SUV,161,California,M
PS28082,High School or Below,2592,57563,66,0,Personal Auto,Four-Door Car,316,Arizona,M
MX89333,Bachelor,2554,0,72,2,Personal Auto,Two-Door Car,345,Arizona,M
OE14751,Doctor,3528,31278,92,4,Personal Auto,Two-Door Car,441,Oregon,M
YI73667,College,5340,0,72,0,Personal Auto,Four-Door Car,345,Nevada,F
AX70794,High School or Below,2449,47122,62,0,Personal Auto,Two-Door Car,297,California,M
BF69918,High School or Below,5666,0,77,0,Personal Auto,Four-Door Car,534,Oregon,M
KE61355,High School or Below,5272,60260,66,0,Corporate Auto,Four-Door Car,328,Oregon,F
HG65194,College,8672,0,125,0,Personal Auto,SUV,600,Oregon,F
GV68933,High School or Below,7679,12677,101,0,Personal Auto,SUV,500,Arizona,M
LM76366,High School or Below,2999,28564,76,0,Corporate Auto,Two-Door Car,364,Nevada,M
PS57128,Bachelor,3834,41341,99,0,Personal Auto,Four-Door Car,240,California,F
AH55475,College,33053,44246,122,3,Personal Auto,SUV,585,Arizona,M
LE91297,Master,5175,0,71,0,Personal Auto,Four-Door Car,340,Oregon,M
IF18508,High School or Below,7950,70610,99,0,Personal Auto,Four-Door Car,240,California,F
YE87442,High School or Below,9935,34831,124,0,Personal Auto,SUV,595,Arizona,F
QD85803,Bachelor,7861,30374,99,0,Personal Auto,Four-Door Car,304,California,F
SF25048,College,8092,50825,102,0,Personal Auto,SUV,369,California,M
FH39423,Master,5539,80727,68,0,Personal Auto,Four-Door Car,98,Oregon,F
LW43630,Bachelor,9628,71269,80,0,Personal Auto,Four-Door Car,350,California,F
XO17798,High School or Below,5827,45794,74,0,Personal Auto,Four-Door Car,449,Washington,M
IN15077,High School or Below,4807,99874,119,0,Corporate Auto,Luxury,307,California,M
NE16405,Bachelor,2582,76731,64,0,Personal Auto,Four-Door Car,201,California,F
TU82820,Master,4475,73019,112,0,Corporate Auto,SUV,537,California,M
FR26341,Master,2399,19112,62,0,Personal Auto,Four-Door Car,259,Oregon,M
MT27589,College,7840,58414,210,2,Corporate Auto,Luxury,1008,Oregon,M
UG72692,Bachelor,2378,0,70,0,Personal Auto,Four-Door Car,734,Oregon,M
MP95255,High School or Below,3919,66676,97,0,Personal Auto,Four-Door Car,558,California,F
EM16179,College,8274,69011,70,0,Personal Auto,Four-Door Car,336,Arizona,F
DR77208,Bachelor,9538,0,85,0,Personal Auto,Two-Door Car,58,California,M
PR31509,Bachelor,5331,0,71,0,Personal Auto,Four-Door Car,340,Nevada,M
SE33381,Bachelor,4531,0,126,0,Corporate Auto,SUV,907,Arizona,F
BW43011,High School or Below,3834,0,112,0,Personal Auto,SUV,806,California,M
YP96182,Master,2726,31385,69,0,Personal Auto,Four-Door Car,68,Oregon,M
WI58274,College,8238,68261,102,0,Personal Auto,Luxury,84,Oregon,F
YF26585,High School or Below,4758,92324,119,2,Corporate Auto,Luxury,603,Nevada,M
UH76090,Bachelor,8818,0,136,4,Personal Auto,SUV,1237,California,F
VF36700,Master,24278,20983,97,1,Personal Auto,Four-Door Car,451,Oregon,F
CS32416,Bachelor,5595,68004,72,0,Corporate Auto,Two-Door Car,416,Oregon,M
AT18041,High School or Below,2682,63471,67,0,Personal Auto,Two-Door Car,387,California,F
TB54645,Bachelor,3033,27369,77,0,Personal Auto,Four-Door Car,331,Oregon,F
LX11170,High School or Below,4862,36839,61,0,Personal Auto,Four-Door Car,152,Oregon,F
RO43614,Bachelor,2128,0,65,2,Personal Auto,Four-Door Car,312,Washington,F
QS36363,High School or Below,12655,26149,157,0,Personal Auto,SUV,753,Arizona,F
FX72157,High School or Below,8556,52440,109,0,Corporate Auto,Four-Door Car,371,Oregon,F
XC43591,College,12880,24571,109,0,Personal Auto,Four-Door Car,523,Oregon,M
PJ71030,High School or Below,3049,0,90,0,Special Auto,Four-Door Car,432,Oregon,M
JH14651,Master,3237,60244,83,3,Personal Auto,Four-Door Car,326,Washington,M
YG42297,College,5248,0,72,0,Personal Auto,Four-Door Car,216,Arizona,M
TY31217,Bachelor,11009,51643,283,0,Personal Auto,Luxury,1358,Washington,F
KU69274,High School or Below,14267,17157,123,0,Personal Auto,SUV,770,Arizona,F
MU53420,High School or Below,5325,0,73,0,Personal Auto,Two-Door Car,496,Oregon,M
RE36747,High School or Below,3034,17308,82,0,Personal Auto,Four-Door Car,874,Nevada,M
IN78205,College,8329,0,118,0,Personal Auto,SUV,849,Arizona,F
AH39293,College,2616,72302,66,0,Personal Auto,Two-Door Car,316,California,M
IF30418,Master,2574,34990,65,0,Personal Auto,Four-Door Car,42,California,F
QH51455,College,4004,0,107,0,Personal Auto,Four-Door Car,513,Arizona,M
UZ60774,Bachelor,6051,0,87,1,Personal Auto,Four-Door Car,626,Nevada,F
AD63766,Bachelor,2839,0,81,0,Personal Auto,Two-Door Car,388,Oregon,M
MN19541,College,1994,0,61,0,Personal Auto,Four-Door Car,393,Arizona,M
SF38922,College,11944,33760,102,0,Personal Auto,SUV,123,Oregon,M
ST91578,Master,6466,0,90,0,Personal Auto,Four-Door Car,144,California,M
AP52565,High School or Below,6746,70328,84,0,Corporate Auto,Four-Door Car,293,Arizona,F
BT68954,Bachelor,3561,0,99,0,Special Auto,Four-Door Car,712,Oregon,M
NU93648,Bachelor,20774,0,63,0,Corporate Auto,Two-Door Car,243,Arizona,M
OU60143,Bachelor,3939,60021,99,0,Corporate Auto,Four-Door Car,882,Oregon,F
EC51047,Bachelor,8915,31991,81,3,Personal Auto,Four-Door Car,548,California,F
EV46476,Bachelor,8084,20169,112,1,Personal Auto,SUV,537,California,M
HB59616,College,4502,0,64,0,Personal Auto,Two-Door Car,307,Washington,F
RA34556,High School or Below,4877,20178,69,2,Corporate Auto,Four-Door Car,331,California,M
NB87421,High School or Below,8294,78189,103,0,Corporate Auto,Four-Door Car,99,Arizona,M
HR64765,High School or Below,8485,0,244,0,Personal Auto,Luxury,1756,Washington,M
FM70419,College,4740,0,72,1,Personal Auto,Four-Door Car,518,Oregon,M
GX51965,High School or Below,8564,95697,107,0,Personal Auto,Luxury,178,California,M
OS75351,College,2393,0,70,0,Personal Auto,Four-Door Car,425,Oregon,M
TU25694,High School or Below,2458,0,70,0,Personal Auto,Four-Door Car,504,Oregon,M
JS90115,High School or Below,19597,64559,62,0,Personal Auto,Four-Door Car,107,Nevada,F
KW93227,College,21892,58149,61,0,Special Auto,Four-Door Car,292,Washington,M
SU41739,College,8728,0,124,0,Personal Auto,SUV,473,California,M
TV75816,High School or Below,2386,70911,63,3,Corporate Auto,Two-Door Car,302,Oregon,M
RS54064,High School or Below,21892,78337,62,2,Corporate Auto,Two-Door Car,36,Washington,M
OB63331,Doctor,2813,50397,70,0,Corporate Auto,Four-Door Car,350,Arizona,F
TI58610,Master,2996,51199,74,0,Corporate Auto,Four-Door Car,355,Arizona,F
TJ82551,Bachelor,4063,46928,102,1,Personal Auto,Four-Door Car,631,Nevada,F
ZO43755,Master,8368,23879,107,0,Corporate Auto,SUV,635,Oregon,F
VG16827,Master,4626,79487,114,0,Personal Auto,SUV,547,California,F
KJ48497,High School or Below,7516,0,106,0,Personal Auto,SUV,850,Oregon,F
NA27429,High School or Below,3644,82477,90,0,Personal Auto,Two-Door Car,432,Nevada,F
AZ38648,Master,11981,21514,62,0,Personal Auto,Two-Door Car,257,Washington,F
SR53077,High School or Below,2601,57231,65,0,Personal Auto,Four-Door Car,305,Nevada,F
UO12263,High School or Below,4654,0,69,4,Corporate Auto,Four-Door Car,331,Oregon,F
BC86800,Bachelor,3579,84598,89,2,Personal Auto,Two-Door Car,639,California,F
ZQ28996,College,5388,48895,68,0,Corporate Auto,Four-Door Car,325,Nevada,M
JI42730,High School or Below,3705,84493,92,0,Personal Auto,Four-Door Car,441,Arizona,M
VF21170,Bachelor,8613,37277,109,1,Personal Auto,SUV,417,California,F
MP25903,High School or Below,2703,0,71,0,Personal Auto,Two-Door Car,497,Oregon,M
YH24323,College,2511,14906,66,0,Corporate Auto,Four-Door Car,421,California,F
XB86235,Doctor,24186,14710,112,0,Personal Auto,Luxury,537,Arizona,M
WR53191,Bachelor,15120,20656,130,0,Corporate Auto,SUV,706,California,F
UM83813,Bachelor,13379,0,194,0,Personal Auto,Luxury,1396,Oregon,F
JW45704,Bachelor,2308,0,64,0,Personal Auto,Four-Door Car,431,California,M
PV26437,Bachelor,7319,57777,61,1,Corporate Auto,Four-Door Car,273,California,F
AX39008,Bachelor,26113,80409,74,0,Personal Auto,Two-Door Car,262,Oregon,M
DJ52170,High School or Below,5639,73168,70,0,Special Auto,Four-Door Car,425,California,M
RM34371,Bachelor,4715,0,64,0,Personal Auto,Two-Door Car,345,Nevada,F
TZ65661,College,2742,32437,69,0,Corporate Auto,Two-Door Car,331,California,F
YD74214,College,3808,94903,94,0,Personal Auto,Two-Door Car,451,California,F
AR99766,Bachelor,4692,82534,118,0,Personal Auto,SUV,4,Nevada,F
ZA30025,Bachelor,4055,0,121,0,Personal Auto,SUV,1215,Arizona,M
IE85867,High School or Below,41787,46587,119,2,Personal Auto,Four-Door Car,571,Arizona,F
XK52242,Bachelor,9800,32245,124,0,Personal Auto,SUV,257,California,M
RP12388,Bachelor,12379,39886,64,1,Personal Auto,Two-Door Car,290,Arizona,M
TP30316,College,9705,79157,61,0,Corporate Auto,Two-Door Car,117,California,M
RS60249,Bachelor,4253,0,62,0,Personal Auto,Two-Door Car,446,Oregon,M
AL50693,Bachelor,3567,0,102,0,Corporate Auto,SUV,660,Oregon,M
SH36838,High School or Below,5153,0,74,0,Personal Auto,Four-Door Car,532,Arizona,M
CV44550,College,7559,0,119,1,Corporate Auto,Four-Door Car,964,Arizona,M
YO23637,College,4194,0,64,3,Special Auto,Two-Door Car,759,Washington,M
AJ32539,Bachelor,2829,25860,72,0,Personal Auto,Four-Door Car,345,Oregon,M
VQ48245,Master,3221,77882,79,0,Personal Auto,Four-Door Car,379,Washington,F
ID15010,Doctor,10972,24164,137,0,Personal Auto,Luxury,657,Oregon,M
RH28799,College,2430,0,70,0,Personal Auto,Four-Door Car,341,Arizona,M
WC72942,High School or Below,3790,66169,96,1,Personal Auto,Two-Door Car,156,Oregon,M
HT92952,Bachelor,8838,82664,114,3,Corporate Auto,SUV,133,California,M
LR82110,Doctor,20101,23638,102,0,Personal Auto,SUV,489,Nevada,F
JE19783,Bachelor,6388,26436,83,0,Personal Auto,Two-Door Car,398,Arizona,M
MX97096,College,2656,0,78,1,Personal Auto,Four-Door Car,374,Nevada,F
TD51026,Bachelor,7714,13154,102,0,Personal Auto,SUV,489,Arizona,M
SD75391,Master,2704,24173,70,0,Personal Auto,Four-Door Car,181,California,F
CN29830,High School or Below,2495,26689,64,0,Corporate Auto,Four-Door Car,424,California,M
RV52244,Bachelor,2498,31357,63,0,Personal Auto,Four-Door Car,2,Arizona,F
WA59097,College,5614,40417,71,1,Personal Auto,Four-Door Car,130,Oregon,F
TV23956,High School or Below,2089,0,63,1,Personal Auto,Four-Door Car,453,Washington,M
XQ81794,High School or Below,5137,93872,64,0,Personal Auto,Four-Door Car,206,Arizona,M
BB21794,Bachelor,5394,29853,69,0,Personal Auto,Four-Door Car,76,Oregon,F
HC63693,College,7341,88049,92,0,Corporate Auto,Two-Door Car,567,Arizona,F
KJ55021,College,4791,29111,63,0,Personal Auto,Four-Door Car,302,Washington,F
HX45529,Master,25169,37282,79,0,Personal Auto,Four-Door Car,222,Oregon,M
XY78443,College,2147,0,62,0,Personal Auto,Two-Door Car,297,Arizona,F
KQ38375,Bachelor,9902,0,133,0,Personal Auto,SUV,945,California,F
HC66205,High School or Below,3157,58248,80,0,Corporate Auto,Four-Door Car,134,Washington,M
KF62288,High School or Below,6269,0,89,1,Special Auto,Two-Door Car,942,Oregon,F
YE46109,College,10839,26367,139,0,Personal Auto,SUV,105,Arizona,F
TT30338,Master,7675,89586,63,1,Personal Auto,Four-Door Car,302,Arizona,F
MC22692,High School or Below,7035,86642,87,0,Personal Auto,Two-Door Car,234,Washington,F
FW17421,High School or Below,3576,24959,89,0,Corporate Auto,Four-Door Car,640,Washington,F
KE83023,Bachelor,10845,27279,137,0,Personal Auto,SUV,770,Oregon,M
HT96569,Bachelor,2656,57117,67,0,Personal Auto,Four-Door Car,321,Oregon,M
GO27855,College,6883,64600,86,0,Personal Auto,Four-Door Car,168,Oregon,F
UX71974,College,20314,42218,180,3,Personal Auto,Luxury,212,California,M
QT97406,Bachelor,20120,32869,85,0,Corporate Auto,Two-Door Car,117,Arizona,M
QQ37605,Master,2547,26047,64,1,Personal Auto,Four-Door Car,187,Washington,F
BL79888,High School or Below,34611,20090,109,0,Personal Auto,Luxury,523,Oregon,F
WF91295,High School or Below,4254,11904,61,2,Personal Auto,Two-Door Car,292,Oregon,F
NQ92014,High School or Below,3659,0,106,0,Personal Auto,SUV,763,California,F
RP33869,Bachelor,2577,49467,65,0,Personal Auto,Two-Door Car,413,Washington,F
TS31001,Bachelor,26243,55705,113,0,Personal Auto,SUV,149,Oregon,M
NE58217,Bachelor,27064,83560,113,1,Corporate Auto,Four-Door Car,276,Oregon,F
BV57364,College,8092,50825,102,0,Personal Auto,SUV,369,Arizona,M
FS84707,Doctor,2691,82108,67,0,Personal Auto,Four-Door Car,52,Nevada,F
AN80983,College,5218,85721,65,0,Corporate Auto,Four-Door Car,312,Oregon,M
UU84036,High School or Below,8267,59597,69,0,Special Auto,Two-Door Car,222,California,M
XQ51968,High School or Below,5568,0,79,1,Corporate Auto,Two-Door Car,407,California,M
CY59740,High School or Below,2594,0,73,0,Corporate Auto,Four-Door Car,350,California,M
XT58648,High School or Below,8646,64125,108,0,Personal Auto,SUV,369,Arizona,F
WZ63975,High School or Below,2423,22319,63,1,Personal Auto,Two-Door Car,302,California,F
RQ72272,College,2814,94304,71,0,Personal Auto,Two-Door Car,182,Arizona,M
FR34560,Master,2506,17193,66,0,Corporate Auto,Four-Door Car,316,Oregon,F
EF99768,High School or Below,4424,37800,112,0,Corporate Auto,SUV,662,California,F
LW50691,College,9555,96269,118,0,Personal Auto,Four-Door Car,58,Nevada,F
EP34249,College,13869,28432,118,0,Corporate Auto,SUV,612,Oregon,M
DQ54144,High School or Below,8841,0,118,0,Personal Auto,SUV,566,Arizona,F
SE62920,Bachelor,8836,63909,112,0,Personal Auto,SUV,206,California,M
PL54420,Bachelor,33473,33190,106,0,Personal Auto,SUV,508,Arizona,F
QG22665,College,5000,43723,66,3,Personal Auto,Four-Door Car,316,Arizona,M
LJ59940,High School or Below,16468,0,63,0,Corporate Auto,Four-Door Car,685,Nevada,F
